url,ad_id,language,title,price_eur,currency,seller_name,seller_rating,seller_reviews_count,description,images_count,images,make,model,year,mileage_km,fuel,transmission,engine_liters,power_hp,power_kw,co2_gkm,consumption_l_100,body_type,color,doors,drivetrain_raw,turbo,euro_norm,age_years,price_per_km,options_count,options,specs_raw
https://www.2ememain.be/v/autos/toyota/m2342474344-toyota-corolla-gr-sport-touring-2024,2342474344,fr,Toyota corolla GR sport touring 2024,27500,EUR,,,,"Toyota Corolla 2.0 Hybrid Touring Sports GR-Sport – 35.500 km – 2024 – Veel opties – 196 PK IS AL GEKEURD VOOR VERKOOP!!! Zo goed als nieuwe Corolla, 1e eigenaar, volledige onderhoudshistoriek — perfect voor wie zoekt naar comfortabele, zuinige én krachtige gezinswagen. 196 PK hybride-motor, automatische versnellingsbak, LED-verlichting, 19″ lichtmetalen velgen en sportief GR-Sport interieur. Automatische klimaatregeling, adaptieve cruise control, parkeercamera + sensor, keyless entry, elektrische achterklep, Apple CarPlay / Android Auto, verwarmd stuur en zetels. Inclusief keuring voor verkoop en set winterbanden. Fabrieksgarantie geldig tot 2/2027+ oplopend tot 10 jaar!!!Vraagprijs: € 27500",1,https://images.2dehands.com/api/v1/listing-twh-p/images/f8/f86e4de1-3365-4b28-ba33-6928a577de69?rule=ecg_mp_eps$_85,Toyota,corolla GR sport,2024,35500,Hybrid,,,,,,,,,,,,,2,0.774648,0,,{}
https://www.2ememain.be/v/autos/toyota/m2359147920-toyota-corolla-1-9-diesel-123-000-km-approuve,2359147920,fr,Toyota Corolla 1.9 Diesel | 123 000 km | Approuvé,3200,EUR,,,,"Toyota Corolla (Linea Terra) 1.9 Diesel avec un faible kilométrage exceptionnel ! Bien entretenu. Courroie de distribution remplacée à 92 000 km La Corolla 1.9D. économique est connue pour son moteur diesel simple et puissant sans turbo : peu de risques de réparations coûteuses et de faibles coûts de maintenance. Il s'est avéré être l'un des moteurs les plus fiables et les plus indestructibles jamais construits. Idéal pour un usage quotidien, pour les trajets domicile-travail ou comme outil de travail. Bref, une voiture économique fiable. options : • Direction assistée • Verrouillage centralisé • Sièges arrière rabattables • Véhicule non fumeur • Vitres électriques • Rétroviseurs réglables électriquement • Radio-CD • 5 portes • 2 clés disponibles Quelques petites imperfections sur la carrosserie La visite est possible sur rendez-vous. 0493/77 53 50",2,https://images.2dehands.com/api/v1/listing-twh-p/images/bb/bb2a1a06-0fed-4382-9d2b-e14f8e2dfefd?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/profile-twh-p/images/a0/a0bfcf4f-311b-4f81-b24c-adaa4f74a3b7?rule=ecg_mp_eps$_82,Toyota,Corolla 1.9 Diesel,,123000,Diesel,,,,,,,,,,,,,,0.026016,0,,{}
https://www.2ememain.be/v/autos/toyota/m2360464369-toyota-corolla-dynamic-1-8hev,2360464369,fr,Toyota Corolla Dynamic 1.8HEV,20900,EUR,,,,"Aanraakscherm, Airconditioning, Apple Carplay/Android Auto, Automatische regensensor, Elektronische parkeerrem, Grootlichtassistent, Handsfree, Hill-Hold Control, Lane Departure Warning Systeem, Lendensteun, Multifunctioneel stuur, Multimediasysteem, stuurbekrachtiging, Nieuw! Toyota Corolla TS nu beschikbaar bij Covamo Center Mol! Laat deze kans niet liggen! Geniet van 6 jaar garantie! Tel: 014 31 33 66",14,https://images.2dehands.com/api/v1/listing-twh-p/images/17/174ca24a-518d-45fd-b503-0934c4748dda?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/profile-twh-p/images/2c/2cf4fe18-2619-444b-8618-efe64c7d08cb?rule=ecg_mp_eps$_82|https://images.2dehands.com/api/v1/profile-twh-p/images/03/0375e293-4d2e-44e9-8a68-274cdaff9e71?rule=ecg_mp_eps$_82|https://images.2dehands.com/api/v1/profile-twh-p/images/4f/4f485e84-2fbc-49db-a1e5-47c4557d3237?rule=ecg_mp_eps$_82|https://images.2dehands.com/api/v1/listing-twh-p/images/ff/ff8f674e-478a-4782-94a3-4cee4a6d1b1b?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/0b/0b1e9bf7-4f64-4fb1-b96c-6bfc4b9b0421?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/f4/f483f430-0675-4f13-b18c-bd99a5724b3a?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/57/574439ea-1fb6-4892-9dd6-eefdfd9d3b09?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/df/df0fee14-d703-4668-a3b6-abe53a96724c?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/b1/b19a0bd5-f4d6-4c33-81e1-7623ffa569e4?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/1f/1f785fb9-0420-401f-8571-01fc05de7157?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/11/114d54d4-d0cb-4a3e-ab54-15b0673edda2?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/29/296f5a63-f641-4b73-bdd2-bd9fd161d4e2?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/ba/ba449cec-e45c-473e-a484-5405cd400bcd?rule=ecg_mp_eps$_83,Toyota,Corolla Dynamic 1.8HEV,,,,,,,,,,,,,,,,,,0,,{}
https://www.2ememain.be/v/autos/toyota/m2360420525-toyota-corolla-1-8-hybrid-dynamic-e-cvt-automatique,2360420525,fr,Toyota Corolla 1.8 Hybrid Dynamic e-CVT (automatique),25500,EUR,,,,"Business Pack + Navi HYBRID (12). Toyota Corolla 1.8 Hybrid Dynamic e-CVT Informations générales Année du modèle: 2019 Code du modèle: -ze1he Couleur: (209) Informations techniques Transmission: Automatique Réservoir de carburant: 43 litres Dimension des pneus: 16 Accélération (0-100): 10,9 s Vitesse de pointe: 180 km/h Mesures et poids Capacité de charge: 460 kg PBV: 1.820 kg Dimensions (LxlxH): 437 x 179 x 146 cm Empattement: 264 cm Environnement et consommation Consommation de carburant en milieu urbain: 3,2 l/100km Consommation de carburant en milieu extra-urbain: 3,6 l/100km Label énergétique: B Historique Nombre de propriétaires: 1 Condition État technique: bon État optique: bon Conditions d'intérieur: bon Nombre de clés: 2 ( 2 télécommandes) Informations financières TVA/marge: TVA non déductible (régime de la marge bénéficiaire) Autres informations couleur: zwart / zwart climatisation: fonctionne Message d'erreur: Non Options et accessoires 2 appuis-tête AV, avec réglage en hauteur, 3 appuis-tête AR, avec réglage en hauteur 6 haut-parleurs Accoudoir central AR Accoudoir central AV Affichage multi fonction 7,00 pouces, Combiné instruments 1 et 17,8, affichage multi fonction 8,00 pouces, Écran tactile, tableau de bord 1, 20,3, fixe et - Aide au stationnement emplacement : AR, de type caméra Airbag de genoux conducteur Airbags 7 Airbags avant: côté conducteur, à déploiement variable, airbags avant: côté passager, à déploiement variable, déconnectable Airbags latéraux AV Airbags rideaux latéraux AV & AR Air conditionné 2 zones Antibrouillards AV Antipatinage Appel d'urgence Apps contrôle Assistance au freinage d'urgence Avertisseur de franchissement de ligne avec action sur la direction Bouton démarrage Business Pack + Navi HYBRID (Aide au stationnement AR automatique et en épi, sortie, Aide au stationnement emplacement : AV, de type radar, aide au stationnement emplacement : AR, de type radar et caméra, Condamnation centralisée à carte, Essuie-glaces à capteur de pluie, Inclut:, Information espace de stationnement, Informations version : % remise option : 0,00, Pré-équipement téléphone chargeur, Rétroviseurs rabattables, Siège AV conducteur, réglage lombaire, réglage lombaire électrique, électrique, 1 réglage électrique, chauffant, siège AV passager, chauffant, Smart card / Smart key automatique gérant : inclus entrée sans clé et inclut démarrage sans clé, Système détection de collision vitesse mini d'activation (km/h) : 0, avant et arrière, Tapis de recharge sans fil, [02] Toyota Smart Connect Pro) (12) Cache-bagages Ceintures de sécurité AR : côté conducteur, ceintures de sécurité AR : côté passager, ceintures de sécurité AR : centrale, type 3 points Ceintures de sécurité AV : conducteur, passager, réglable(s) en hauteur, à prétensionneurs Combiné instruments analogue & TFT Commandes radio au volant Commande ventilation additionnelle siège passager, avec affichage digital Condamnation centralisée à distance Conduite autonome plein, alerte franchissement ligne et Assistance embouteillage Connexion externe divertissement: Connexion jack auxiliaire AV, Connexion USB AV, 1 et 0 Contrôle des phares: allumage automatique, feux de route/croisement automatiques, réglage en hauteur automatique Direction assistée asservie à la vitesse, électrique Détection panneaux signalisation ESP Essuie-glaces Feux de détresse automatiques Feux de jour Feux à LED: témoin de frein, témoin anti-brouillard, feux de croisement, feux de position, feux de jour, feux arrières et feux de route Filtre de suie Garnissage: pommeau levier de vitesses : cuir, console de plancher : imitation alliage, contre-portes : imitation alliage, planche de bord : imitation alliage Kit anticrevaison Kit bluetooth Limiteur de vitesse Lunette AR: essuie-glace à balayage intermittent Mise à jour Over Air Mises à jour OTA Mob Integration Apple CarPlay, Android Auto, 999, 999, 0, 0, connexion sans fil Apple et connexion sans fil Android Nombre de places : 5 places, configuration des sièges : 2+3 Peinture métallisée (JATOMET) Peinture opaque Phares à surface complexe, ampoules à LED et LED Piéton système d'alerte audio Poignées de portes extérieures Port de chargement USB avant et arrière Porte(s) AR : hayon Portes: porte conducteur, AR côté conducteur, passager, AR côté passager pivotante à l'AV Prise(s) 12V : AV Préparation attelage Préparation Isofix Roues: AV, AR, jantes alliage, diamètre ("") : 16, largeur ("") : 7,0, 40,6 et 17,8 Régulateur de vitesse avec Régulateur avec détection de distance Fonction Start/stop Réseau Wifi carte SIM embarquée Rétroviseurs extérieurs caméra: côté conducteur, côté passager, peint, électriques, chauffants, rappels de clignotants intégrés Sellerie : matière principale : tissu, matière additionnelle : tissu Service à distance Localisation du véhicule et Alerte visuelle/sonore localis. véhicule Siège AV conducteur individuel, siège AV passager individuel Sièges AR : banquette, 3 places, assise fixe, rabattables : 2/3-1/3 Smart card / Smart key gérant : inclut démarrage sans clé Spoiler: de toit Système audio AM/FM, radio numérique, Écran tactille et Écran couleur Système détection de collision vitesse mini d'activation (km/h) : 10, surveillance du conducteur, active les feux stop, inclut le freinage automatique, freinage actif à vitesse réduite, détection de piéton, Avertissement visuel / acoustique, Distance programmable, Actif au dessus de 130 km/h-78 mph, Actif au dessus de 50 km/h - 30 mph et Actif en dessous de 50 km/h - 30 mph Texte à la parole / parole à texte Ventilation: commandes digitales, filtre à pollen et chauffage électrique Vitres électriques AV, AR, 2 commandes séquentielles Volant cuir, réglable en hauteur, réglable en profondeur, multi-fonctions Van Mossel Hyundai Oudenaarde Industriepark de Bruwaan 55 9700 Oudenaarde Belgium Numéro de téléphone: +32 (0)55 31 63 15 Adresse e-mail: marketing.hyundai@vanmossel.be",2,https://images.2dehands.com/api/v1/listing-twh-p/images/20/206552c8-fe60-45ee-8775-04b9f2c9bfe8?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/dm-profile-twh-p/images/51/519b178a-0f25-44d6-aa4a-d90e4716bf53?rule=ecg_mp_eps$_82,Toyota,Corolla 1.8 Hybrid,2019,,Hybrid,Automatic,,,,,,,,,,,,7,,0,,{}
https://www.2ememain.be/v/autos/toyota/m2359330674-toyota-corolla-exportation-a-emporter-dans-etat-actuel,2359330674,fr,Toyota Corolla - Exportation - à emporter dans état actuel,2400,EUR,,,,"Véhicule destiné à l'exportation / à emporter (pas de contrôle technique avant la vente). En parfait état de marche (contrôle technique valable jusqu'au 18/08/2026) ! Tous les documents sont présents. Présente d'importants dommages d'usure à l'intérieur et à l'extérieur (voir photos). Revêtement intérieur endommagé. À venir chercher, dans son état actuel, dans la région de Waregem. Description du véhicule : Rétroviseurs extérieurs réglables électriquement Vitres électriques CD MP3 Radio USB ABS Verrouillage centralisé des portes avec télécommande Direction assistée Type de carrosserie : Berline Type de véhicule : Occasion Nombre de sièges : 5 Portes : 3 Kilométrage : 237 170 km Année de construction : 11/1999 Puissance : 63 kW (86 ch) Transmission : manuelle Cylindrée : 1 332 cm³ Vitesses : 5",1,https://images.2dehands.com/api/v1/listing-twh-p/images/51/51c87b62-5602-461d-b086-7a65d1076637?rule=ecg_mp_eps$_85,Toyota,Corolla,2026,237170,Electric,Manual,,,,,,,,,,,,0,0.010119,0,,{}
https://www.2ememain.be/v/autos/toyota/m2360328952-toyota-corolla-1-4-diesel-d4d-2007-export,2360328952,fr,Toyota Corolla 1.4 diesel D4D 2007 EXPORT,1500,EUR,,,,Toyota corolla 1.4 diesel 66 kw/90PK EURO4 258 000 km Opties: Digitale airco Parkeersensoren Elektrische ruiten Start en rijdt perfect Alle papieren en 2 sleutels aanwezig Geldige keuring tot 03/2026 Overnamewagen voor export of handelaar 0484896385 of autosadl@hotmail.com,8,https://images.2dehands.com/api/v1/listing-twh-p/images/d0/d0e9aa7c-f8f1-49df-a406-2c444bdf5052?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/profile-twh-p/images/49/496eb07c-642d-4123-b762-36bf19b97926?rule=ecg_mp_eps$_82|https://images.2dehands.com/api/v1/listing-twh-p/images/02/02b69f1b-daac-4845-b638-74691e7b4093?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/19/19c4f373-67e6-4a4e-8f99-f8ce067746d1?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/3d/3d5d928b-760e-46c2-8ce4-d4dc0e5eb298?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/c5/c50242f7-8e8e-4cf1-b89c-26dff938477a?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/87/870dbde9-784b-4691-8787-6f1c645c9ebf?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/7f/7fcd1059-a04e-4bff-b800-c2b4a9ca60f1?rule=ecg_mp_eps$_83,Toyota,Corolla 1.4 diesel,2007,258000,Diesel,,,,,,,,,,,,,19,0.005814,0,,{}
https://www.2ememain.be/v/autos/toyota/m2360301125-toyota-corolla-automatique,2360301125,fr,Toyota Corolla (automatique),35999,EUR,,,,"Grâce à notre large gamme, vous trouverez toujours la voiture qui vous convient. Planifiez un essai routier sans engagement d'achat a fin de la découvrir en temps réelle. Nous nous tenons à votre... Toyota Corolla Transmission: Automatique Année du modèle: 2024 Couleur: (218) Garantie: Garantie Fabrikant Numéro de référence: VEH-333396 Numéro d'immatriculation: VEH-33 Grâce à notre large gamme, vous trouverez toujours la voiture qui vous convient. Planifiez un essai routier sans engagement d'achat a fin de la découvrir en temps réelle. Nous nous tenons à votre disposition pour toute question ou conseil. Plus Service. Plus de choix (plus pour vous) Chez Hedin Automotive, nos experts veillent à ce que l'assortiment soit toujours intéressant et variée. Ceci par un large choix, pour vous ou pour votre entreprise. Qu'il s'agisse d'un achat, d'un financement ou d'un leasing. Nous entretenons votre voiture dans nos ateliers et réparons les dégâts si nécessaire. Pour vous offrir tout le comfort à votre nouvelle voiture, vous pouvez également vous adresser à nous pour l'assurance automobile. Bienvenue chez Hedin Automotive, votre partenaire belge en mobilité. Hedin Automotive Geel Antwerpseweg 83 2440 Geel Belgium Numéro de téléphone: +3214589658 Adresse e-mail: info@hedinautomotive.be",1,https://images.2dehands.com/api/v1/listing-twh-p/images/92/927fa364-a9e2-414c-ad00-fea91aa8a2fd?rule=ecg_mp_eps$_85,Toyota,Corolla (automatique),2024,,,Automatic,,,,,,,,,,,,2,,0,,{}
https://www.2ememain.be/v/autos/toyota/m2360277223-toyota-corolla-cross-dynamic-corolla-cross-dynamic-met-safet,2360277223,fr,Toyota Corolla Cross Dynamic Corolla Cross Dynamic met Safet,34999,EUR,,,,"Aanraakscherm, Android Auto, Apple CarPlay, Bandenspanningscontrole, Binnenspiegel automatisch dimmend, Botswaarschuwing, Grootlichtassistent, Lane Departure Warning Systeem, Lederen stuurwiel, Lichtsensor, Multifunctioneel stuur, Multimediasysteem, Neerklapbare achterbank, Noodoproepsysteem, velgen 17"", Zomerbanden,",1,https://images.2dehands.com/api/v1/listing-twh-p/images/70/70c4c728-170e-4282-93ea-568a20978f55?rule=ecg_mp_eps$_85,Toyota,Corolla Cross Dynamic,,,,,,,,,,,,,,,,,,0,,{}
https://www.2ememain.be/v/autos/toyota/m2360267620-toyota-corolla-hatchback-1-8-hybrid-dynamic-e-cvt,2360267620,fr,Toyota Corolla Hatchback 1.8 Hybrid Dynamic e-CVT,25999,EUR,,,,"Grâce à notre large gamme, vous trouverez toujours la voiture qui vous convient. Planifiez un essai routier sans engagement d'achat a fin de la découvrir en temps réelle. Nous nous tenons à votre... Toyota Corolla Hatchback 1.8 Hybrid Dynamic e-CVT Informations générales Code du modèle: - Couleur: Argent Numéro de référence: VEH-336239 Numéro d'immatriculation: VEH-33 Informations techniques Transmission: 6 vitesses, Automatique Réservoir de carburant: 43 litres Accélération (0-100): 10,9 s Vitesse de pointe: 180 km/h Mesures et poids Capacité de charge: 460 kg PBV: 1.820 kg Dimensions (LxlxH): 437 x 179 x 146 cm Empattement: 264 cm Intérieur Couleur intérieure: autre Environnement et consommation Consommation de carburant en milieu urbain: 3,2 l/100km Consommation de carburant en milieu extra-urbain: 3,6 l/100km Label énergétique: B Historique Nombre de propriétaires: 1 Informations financières TVA/marge: TVA déductible Garantie Garantie: Toyota Approved Garantie 12mnd Garantie: 12 mois Paquets de livraison Emballage de livraison inclus: Toyota Approved Livraison BE: Contrôle technique avant la vente + attache de remorquage (le cas échéant) Hedin Certified 145 points check Car-Pass Nettoyage intérieur et extérieur - standard Assistance dépannage en Europe (pendant 1 an) Cet emballage de livraison contient: Toyota Approved Garantie 12mnd (12 mois de garantie) Options et accessoires 2 appuis-tête AV, avec réglage en hauteur, 3 appuis-tête AR, avec réglage en hauteur 6 haut-parleurs Accoudoir central AR Accoudoir central AV Affichage multi fonction 7,00 pouces, Combiné instruments 1 et 17,8, affichage multi fonction 8,00 pouces, Écran tactile, tableau de bord 1, 20,3, fixe et - Aide au stationnement emplacement : AR, de type caméra Airbag de genoux conducteur Airbags 7 Airbags avant: côté conducteur, à déploiement variable, airbags avant: côté passager, à déploiement variable, déconnectable Airbags latéraux AV Airbags rideaux latéraux AV & AR Air conditionné 2 zones Antibrouillards AV Antipatinage Appel d'urgence Apps contrôle Assistance au freinage d'urgence Avertisseur de franchissement de ligne avec action sur la direction Bouton démarrage Cache-bagages Ceintures de sécurité AR : côté conducteur, ceintures de sécurité AR : côté passager, ceintures de sécurité AR : centrale, type 3 points Ceintures de sécurité AV : conducteur, passager, réglable(s) en hauteur, à prétensionneurs Combiné instruments analogue & TFT Commandes radio au volant Commande ventilation additionnelle siège passager, avec affichage digital Condamnation centralisée à distance Conduite autonome plein, alerte franchissement ligne et Assistance embouteillage Connexion externe divertissement: Connexion jack auxiliaire AV, Connexion USB AV, 1 et 0 Contrôle des phares: allumage automatique, feux de route/croisement automatiques, réglage en hauteur automatique Direction assistée asservie à la vitesse, électrique Détection panneaux signalisation ESP Essuie-glaces Feux de détresse automatiques Feux de jour Feux à LED: témoin de frein, témoin anti-brouillard, feux de croisement, feux de position, feux de jour, feux arrières et feux de route Filtre de suie Garnissage: pommeau levier de vitesses : cuir, console de plancher : imitation alliage, contre-portes : imitation alliage, planche de bord : imitation alliage Kit anticrevaison Kit bluetooth Limiteur de vitesse Lunette AR: essuie-glace à balayage intermittent Mise à jour Over Air Mises à jour OTA Mob Integration Apple CarPlay, Android Auto, 999, 999, 0, 0, connexion sans fil Apple et connexion sans fil Android Nombre de places : 5 places, configuration des sièges : 2+3 Peinture opaque Phares à surface complexe, ampoules à LED et LED Piéton système d'alerte audio Poignées de portes extérieures Port de chargement USB avant et arrière Porte(s) AR : hayon Portes: porte conducteur, AR côté conducteur, passager, AR côté passager pivotante à l'AV Prise(s) 12V : AV Préparation attelage Préparation Isofix Roues: AV, AR, jantes alliage, diamètre ("") : 16, largeur ("") : 7,0, 40,6 et 17,8 Régulateur de vitesse avec Régulateur avec détection de distance Fonction Start/stop Réseau Wifi carte SIM embarquée Rétroviseurs extérieurs caméra: côté conducteur, côté passager, peint, électriques, chauffants, rappels de clignotants intégrés Sellerie : matière principale : tissu, matière additionnelle : tissu Service à distance Localisation du véhicule et Alerte visuelle/sonore localis. véhicule Siège AV conducteur individuel, siège AV passager individuel Sièges AR : banquette, 3 places, assise fixe, rabattables : 2/3-1/3 Smart card / Smart key gérant : inclut démarrage sans clé Spoiler: de toit Système audio AM/FM, radio numérique, Écran tactille et Écran couleur Système détection de collision vitesse mini d'activation (km/h) : 10, surveillance du conducteur, active les feux stop, inclut le freinage automatique, freinage actif à vitesse réduite, détection de piéton, Avertissement visuel / acoustique, Distance programmable, Actif au dessus de 130 km/h-78 mph, Actif au dessus de 50 km/h - 30 mph et Actif en dessous de 50 km/h - 30 mph Texte à la parole / parole à texte Ventilation: commandes digitales, filtre à pollen et chauffage électrique Vitres électriques AV, AR, 2 commandes séquentielles Volant cuir, réglable en hauteur, réglable en profondeur, multi-fonctions Remarques Grâce à notre large gamme, vous trouverez toujours la voiture qui vous convient. Planifiez un essai routier sans engagement d'achat a fin de la découvrir en temps réelle. Nous nous tenons à votre disposition pour toute question ou conseil. Plus Service. Plus de choix (plus pour vous) Chez Hedin Automotive, nos experts veillent à ce que l'assortiment soit toujours intéressant et variée. Ceci par un large choix, pour vous ou pour votre entreprise. Qu'il s'agisse d'un achat, d'un financement ou d'un leasing. Nous entretenons votre voiture dans nos ateliers et réparons les dégâts si nécessaire. Pour vous offrir tout le comfort à votre nouvelle voiture, vous pouvez également vous adresser à nous pour l'assurance automobile. Bienvenue chez Hedin Automotive, votre partenaire belge en mobilité. Hedin Automotive Geel Antwerpseweg 83 2440 Geel Belgium Numéro de téléphone: +3214589658 Adresse e-mail: info@hedinautomotive.be",1,https://images.2dehands.com/api/v1/listing-twh-p/images/96/960cad2e-e350-4790-98bf-bbaecef2ed24?rule=ecg_mp_eps$_85,Toyota,Corolla Hatchback 1.8,,,Hybrid,Automatic,,,,,,,,,,,,,,0,,{}
https://www.2ememain.be/v/autos/toyota/m2360252222-toyota-corolla-sw-hybrid-1-8-gr-sport-btw-dodeh-trekh-gara,2360252222,fr,Toyota Corolla SW Hybrid 1.8 GR Sport *BTW* DodeH TrekH Gara,20599,EUR,,,,"Consommation moyenne de carburant: 5,5 l/100km Dommages: aucun Toyota Corolla Sw Hybrid 1.8 GR Sport Automaat Benzine/ Elektrische 98Pk De voorwielaangedreven auto heeft een hybride aandrijflijn met een... Toyota Corolla SW Hybrid 1.8 GR Sport *BTW* DodeH TrekH Garantie* Transmission: 6 vitesses, Automatique Couleur: Beige Couleur intérieure: noir Nombre de places assises: 5 Classe d'émission: Euro 6d Nombre de propriétaires: 1 Garantie: 12 mois Numéro de référence: 191 Options et accessoires Aide à la conduite ABS Affichage tête haute Alerte de franchissement involontaire de lignes Assistant au freinage d'urgence Assistant de démarrage en côte Avertisseur d'angle mort Caméra d'aide au stationnement Capteurs d'aide au stationnement arrière Capteurs d'aide au stationnement avant Contrôle de la Distance de Stationnement Direction assistée Détection des panneaux routiers Ordinateur de bord Régulateur de vitesse Système de navigation Autres Véhicule non-fumeur Confort Accoudoir Climatisation automatique Commande vocale Sièges chauffants Sièges sport Volant en cuir Volant multifonctions Extra Attache remorque Dispositif mains libres Détecteur de lumière Pack Sport Rétroviseurs latéraux électriques Verrouillage centralisé Verrouillage centralisé avec télécommande Verrouillage centralisé sans clé Extérieur Feux anti-brouillard Hayon arrière électrique Jantes alliage LED Phare de jour Phares au LED Porte-bagages Vitres électriques Multimédia Bluetooth Ecran tactile MP3 Radio Radio numérique Soundsystem USB Sécurité Airbag conducteur Airbag passager Airbags latéraux Anti-patinage Isofix Système d'appel d'urgence Système de contrôle de la pression pneus Remarques Consommation moyenne de carburant: 5,5 l/100km Dommages: aucun Toyota Corolla Sw Hybrid 1.8 GR Sport Automaat Benzine/ Elektrische 98Pk De voorwielaangedreven auto heeft een hybride aandrijflijn met een elektromotor en een benzinemotor en levert een maximum vermogen van 90 kW (122 pk) en een maximum koppel van 230 Nm. Eerste Eigenaar Belgische voertuig! Goed onderhouden. Wagen bevindt zich in Nette staat. Wagen wordt onderhoudsvrij geleverd. BTW wagen, prijs inclusief 21% btw Eerste inschrijving: 07/2021 Kilometerstand: 95.309 km Kleur: Biege 1798cc Automaat Benzine/ Elektrische 74 KW/ 98 PK totaal 90kw /122 pk Euro 6d-ISC NEDC: 83 g/km WLTP: 112 g/km ! Absolute top toestand ! Deze wagen wordt keuringsvrij afgeleverd met detailverslag (80 controlepunten + Car-Pass gewaarborgde kilometerstand) + 12 MAANDEN WETTELIJKE GARANTIE ! *Ledere Sport Zetels *Dodehoekherkenning *Lijn assistent *Zetelverwarming Voor En Achter *Keyless Go And Entry *Trekhaak *Head-Up Display *Automatische Airco *Cruise Control *Parkeersensoren *Achteruitrijcamera *Navigatiesysteem *LED Verlichting *Radio/Cd/Aux *Airbags *2 sleutels *Boordcomputer *Elek.ruiten *Elek.spiegels *Mistlampen *isofix *enz... Wordt geleverd met: -1jaar Wettelijke garantie -Gekeurd voor verkoop met Car-pass(inschrijfklaar) -Onderhoudsvrij gedurende 6 maanden / 10.000 km -Levering aan huis mogelijk tot 100km 150€ boven 100km bespreekbaar -Overname van uw wagen mogelijk + Testrit mogelijk -Info of afspraak tel : 0485143679 -Op afspraak, ook open op Zon en Feestdagen. -Weg naar zwartberg 83 Houthalen -Typfouten en vergissingen Voorbehouden- mvg, Kubika Cars Weg naar Zwartberg 83t 3530 Houthalen-Helchteren Numéro de téléphone: +32485143679 Adresse e-mail: info@kubika-cars.be",2,https://images.2dehands.com/api/v1/listing-twh-p/images/c7/c7cec12a-f931-48bc-94a3-8005f2eee80e?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/dm-profile-twh-p/images/84/84a03932-ef30-4815-8867-d6cd0c40e5e9?rule=ecg_mp_eps$_82,Toyota,Corolla SW Hybrid,2021,95309,Benzin,Automatic,,,,,,,,,,,,5,0.216129,0,,{}
