url,ad_id,language,title,price_eur,currency,seller_name,seller_rating,seller_reviews_count,description,images_count,images,make,model,year,mileage_km,fuel,transmission,engine_liters,power_hp,power_kw,co2_gkm,consumption_l_100,body_type,color,doors,drivetrain_raw,turbo,euro_norm,age_years,price_per_km,options_count,options,specs_raw
https://www.2ememain.be/v/autos/volvo/m2360164083-volvo-s60-2-0d-d3,2360164083,fr,"Volvo s60 2,0d. D3",4950,EUR,,,,"Volvo s60 D3 2,0 diesel 5 cilinder Euro 5 05/2013 260000 km Tesrit mogelijk Motor 10/10 Koppeling 10/10 Versnellingsbak 10/10 Carrosserie 8/10 De wagen start en rijdt super goed Zo meenemen 4950€ oky Keurig voor verkoop + 250€ +32 489255417 Zaventem/Machelen",1,https://images.2dehands.com/api/v1/listing-twh-p/images/37/37e3d2b9-c1e3-43b5-89b3-db3bd9427f48?rule=ecg_mp_eps$_85,Volvo,"s60 2,0d.",2013,260000,Diesel,,,,,,,,,,,,,13,0.019038,0,,{}
https://www.2ememain.be/v/autos/volvo/m2359884821-volvo-s60-d4-momentum,2359884821,fr,Volvo S60 D4 Momentum,7000,EUR,,,,"kenmerken/opties : - rechtstreeks van eerste eigenaar - afneembare trekhaak met slot - zomerbanden + lichtmetalen alu-velgen - winterbanden + lichtmetalen alu-velgen - uitneembare kunststofbodemplaat kofferruimte - 2 originele Volvo alu-dakdragers, incl. momentsleutel - enkele krassen onderaan voorbumper - recent vervangen onderdelen : roetfilter incl. wervelklep en inlaat- pijp, schijfremmen voor- en achteraan en remblokken",1,https://images.2dehands.com/api/v1/listing-twh-p/images/19/191f4877-b737-40ae-9f3c-0939e5468605?rule=ecg_mp_eps$_85,Volvo,S60,,,,,,,,,,,,,,,,,,0,,{}
https://www.2ememain.be/v/autos/volvo/m2360130689-volvo-s60-automaat-stage1-bj-2008,2360130689,fr,"Volvo s60 automaat stage1,bj 2008",1000,EUR,,,,"Volvo s60,bj 2008,235000km,2.4 tdi,automaat,stage 1 met downpipe en met rechte lijn uitlaat,motor en boite in perfekte staat,start en rijd nog,zit leder interrieur in,gps+nog losse onderdelen liggen ook,allu velgen, word verkocht in onderdelen of compleet,pas nieuwe remblokken van voor en achter gestoken,alle papieren zijn aanwezig.morgen volgen de fotos van binnen de wagen. Heeft u iets nodig van onderdelen of u wilt de wagen compleet kopen dit kan ook.",2,https://images.2dehands.com/api/v1/listing-twh-p/images/8f/8f4742c9-0cf4-41ed-b6e6-773d94d3bbc6?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/profile-twh-p/images/51/51ac4872-a22c-44b3-9b4c-ab6e253a0520?rule=ecg_mp_eps$_82,Volvo,"s60 automaat stage1,bj",2008,235000,,Automatic,,,,,,,,,,,,18,0.004255,0,,{}
https://www.2ememain.be/v/autos/volvo/m2360126676-volvo-s60-d3-5cylindres-full-xenon-cuir-navigation,2360126676,fr,Volvo S60 D3 5Cylindres Full Xenon Cuir Navigation,7500,EUR,,,,Volvo S60 D3 163pk 5 Cylindres avec 168500km evolutive. 1er Main Voiture Belge Car Pass Carnet D'entretient Complet.Tres bon etat Generale Vendu avec Garantie an Total...Options Phare Xenon Navigations Jantes alu Park tronic cruise controle.......Plus de info Tel 0466660000 Pas de sms Pas de Email Tel 0493333999*NOUS REPRENONS VOTRE VÉHICULE AU MEILLEUR PRIX Prix professionnel sans controle technique sans garantie=7500 Prix particulier avec garantie et Controle technique =8000,12,https://images.2dehands.com/api/v1/listing-twh-p/images/96/966cffda-e614-43d9-a009-39a9aad2b08d?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/profile-twh-p/images/9b/9b7e92a0-7e2f-4fa1-a58e-7948a2a329c7?rule=ecg_mp_eps$_82|https://images.2dehands.com/api/v1/listing-twh-p/images/58/58446fc6-0880-4498-9d6e-60819500ef4c?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/c5/c5f4afa1-e930-4cde-b277-6bbdf41f3f74?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/89/89bd9aab-a4e5-4ba2-bbc0-d50c630d7ce4?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/db/db219d1a-72a2-4189-8760-6a6738c72438?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/3b/3b59f8ba-56c0-4ffc-bf03-2645065d64c1?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/9b/9b74decf-7d3f-4bc6-b551-6e7dc2015108?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/c8/c893197a-0a7b-4027-b4db-96e8b825f821?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/68/68cf7eac-05bb-40a9-88d7-2a86ec52a210?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/e0/e0eb3064-dafa-4eb1-87d3-2a6670a19659?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/3c/3c3bf671-b17d-4668-a249-057126089b2c?rule=ecg_mp_eps$_83,Volvo,S60,,168500,,,,,,,,,,,,,,,0.04451,0,,{}
https://www.2ememain.be/v/autos/volvo/m2360045347-volvo-s60-r-design-xenon-navigations-104km-1er-main,2360045347,fr,Volvo S60 R-Design Xenon Navigations 104km 1er Main,8500,EUR,,,,Volvo S60 R-Design D2 avec seuleument 104000km 1er Main Voiture Belge Car Pass Carnet D'entretient Complet.Tres bon etat Generale Vendu avec Garantie an Total...Options Phare Xenon Navigations Jantes alu Park tronic cruise controle.......Plus de info Tel 0466660000 Pas de sms Pas de Email Tel 0493333999*NOUS REPRENONS VOTRE VÉHICULE AU MEILLEUR PRIX* Prix ​​professionnel sans controle technique sans garantie = 8500 Prix particulier avec controle technique et garantie 1an = 9000,11,https://images.2dehands.com/api/v1/listing-twh-p/images/ba/baeb6f09-3d24-42cb-b657-e28a039d25f7?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/listing-twh-p/images/10/10eab090-f653-4036-88fd-9807fe558218?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/85/8553f327-fdeb-4a59-b5ed-f48c1073667f?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/ad/ad83d67b-4fa5-4d50-9f45-eb9d0f908da8?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/de/dec3de1b-f188-4cbc-bd36-2b7a449afd34?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/7c/7ca0ad9b-f42e-4d19-82c0-f17e094f34dc?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/6a/6af3f5f6-e77c-4a86-b344-cbc4726e4ebf?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/96/96bb6be7-9b20-41bf-8cdc-b32a0055b894?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/b0/b0b4924f-128e-4a41-b181-091003c03c71?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/e8/e8978328-a418-4de5-89b0-cc85c9d63c29?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/b2/b2572b09-246d-4437-8ef6-2aab78a84a3c?rule=ecg_mp_eps$_83,Volvo,S60 R-Design Xenon,,104000,,,,,,,,,,,,,,,0.081731,0,,{}
https://www.2ememain.be/v/autos/volvo/m2358856128-volvo-s60-d3,2358856128,fr,Volvo S60 D3,6500,EUR,,,,Aangeboden Volvo S60 Navi Xenon Automaat Leder Parkeersensoren voor en achter Camera voor en achter Trekhaak Memory Koplampen sproeiers Bocht verlichting Dode hoek Detector Afstand Detector Adaptieve cruisecontrol … Wagen bevindt zich in propere staat zowel interieur als exterieur. Wagen wordt verkocht zonder keuring wegens gebrek aan tijd.(vorige keuring was blanco) Info Chat,1,https://images.2dehands.com/api/v1/listing-twh-p/images/5d/5dbf72c1-8514-42f9-be86-8197e229555f?rule=ecg_mp_eps$_85,Volvo,S60,,,,Automatic,,,,,,,,,,,,,,0,,{}
https://www.2ememain.be/v/autos/volvo/m2359803502-volvo-s60-2-0-b3-r-design-navi-leder-sportstoelen-schuifdak,2359803502,fr,Volvo S60 2.0 B3 R-Design Navi Leder Sportstoelen Schuifdak,25970,EUR,,,,"Voor meer informatie kunt u contact opnemen met Herbert Afink. Tel. 0546-639618 Volledige historie en correcte NAP pas aanwezig. Laatste beurt bij ​87.065 ​gehad en is rijklaar. Wij ruilen uw auto graag in. Mail: info@lenferink.nl Met een helder design, groot comfort en eigentijds luxe onderscheidt deze Volvo S60 zich overal waar hij komt. Hij heeft een benzinemotor en een automatische transmissie. Even op het knopje drukken en de elektrisch bedienbare achterklep gaat open. Net zo gemakkelijk als het elektrisch bediende glazen panorama dak. De multicontour stoelen zorgen voor precies de juiste zit, hoe lang de rit ook is. Bij de uitrusting van deze auto horen onder meer 20 inch lichtmetalen velgen, LED koplampen, sportonderstel, halflederen bekleding, neerklapbare achterbank en verstelbare lendensteunen. Het digitale dashboard stelt u in staat uw cockpitinterface te personaliseren. Met adaptive cruise control houdt deze auto automatisch afstand tot uw voorligger. Kilometerstand? Oliepeil? Accuspanning? Allemaal te zien via de app. Overal. Altijd. Dankzij Connected Services. Voor een veilige rit is het belangrijk dat uw handen het stuur vasthouden en uw ogen gefocust blijven op de weg; daarom kunt u het audio-installatiesysteem, met DAB-ontvangst en navigatiesysteem met harde schijf bedienen met het stuurwiel of via spraakbediening. U wilt van richting veranderen, een tegenligger lijkt daarbij in uw voorgenomen baan te komen? Dan reageert de kruisend verkeer detectie direct om een aanrijding te vermijden. De uitrusting van deze Volvo is met achteropkomend verkeer waarschuwing, R-design, electronic climate control, parkeersensoren achter, regensensor en keyless entry behoorlijk compleet. Met de nieuwste technologieën aan boord is deze Volvo in staat om zelf te reageren op potentieel gevaarlijke situaties op de weg. Onderweg fungeert de verkeersbord-detectie als het ware als uw bijrijder en attendeert u op de verkeersborden langs de weg. Keep your lane? Het Lane-keeping systeem zorgt er automatisch voor. De actieve dodehoekdetectie voorkomt dat u een voertuig over het hoofd ziet en waarschuwt tijdig. De auto is ook uitgerust met forward collision warning system, hill hold functie, brake assist, vermoeidheidsherkenning en bandenspanningcontrolesysteem. Bent u nieuwsgierig naar deze auto? Laat het ons dan snel weten. Kijk voor meer occasions op www.lenferink.nl Alle getoonde verkoopprijzen zijn meeneemprijzen inclusief lopende APK. Optioneel bieden wij u diverse afleverpakketten. Hoewel alle gegevens met de grootst mogelijke zorgvuldigheid zijn samengesteld is Lenferink Auto's BV niet aansprakelijk voor enige directe of indirecte schade die zou kunnen ontstaan door het gebruik van deze aangeboden informatie. Aan de in dit document verstrekte informatie kunnen op geen enkele wijze rechten worden ontleend of aanspraken worden gemaakt wanneer deze niet door een tekeningsbevoegde is ondertekend. Alle informatie is onder voorbehoud van druk-, zet-, prijs-, en programmeerfouten. Alle afbeeldingen zoals deze getoond worden zijn auteursrechtelijk beschermd en mogen niet worden gebruikt door derden. Details | Algemeen: Prijs : € 25970 BTW/Marge: BTW (Bedrijven kunnen de BTW (ca. € 4507,19) terugvorderen van de belasting) Conditie: Gebruikt Kilometerstand: 98691 km Datum eerste registratie: 07-05-2021 Ledig gewicht: 1633 kg Bouwjaar | Marktplaats: 2021 Model productie datum: 01-01-2019 Transmissie: Automatische transmissie Motorinhoud: 1969 cm³ Laadvermogen: 577 kg Brandstof: Benzine Voertuigbreedte: 1850 mm Voertuiglengte: 4760 mm Vermogen: 120 kW Aantal sleutels: 2 Details | Uitgebreid: Aantal deuren: 4 Aantal stoelen: 5 Kleur | Buitenkant: Zwart Kleurnaam fabrikant: 717 onyx black metallic Metallic: Ja Schade | Niet gerepareerd: Nee Niet-rokers voertuig: Ja Volledige servicehistorie: Ja Brandstofverbruik gecombineerd: 6.2 l/100km Energielabel: B Emissieklasse: Euro6d-TEMP APK geldig tot: 19-02-2027 CO2 emissie: 153 g/km CO2 uitstoot | WLTP: 153 g/km Aantal cilinders: 4 Aandrijving: Voorwielaandrijving Wielbasis: 287 cm Opties | Interieur: Airconditioning: Automatische airconditioning Android Auto: Ja Apple CarPlay: Ja Bekleding: Gedeeltelijk leer Bluetooth: Ja Boord computer: Ja Centrale deurvergrendeling: Ja Digitale cockpit: Ja Dimmende binnenspiegel: Ja Elektrische raambediening: Ja Elektrische stoelverwarming: Ja Geluidssysteem: Ja Kleur | Interieur: Overige Lederen stuurwiel: Ja Lendensteun: Ja Middenarmsteun: Ja Multifunctioneel stuur: Ja Navigatie: Ja Radio: Radio / Tuner, DAB-radio Regensensor: Ja Opties | Exterieur: Elektrisch verstelbare buitenspiegels: Ja Elektrische achterklep: Ja Koplamp: LED-koplampen Lichtmetalen velgen: Ja Panorama dak: Ja Verwarmde buitenspiegels: Ja Zonnedak: Ja Opties | Veiligheid: ABS: Ja Airbags: Airbags voor, zijkant en meer Alarm: Ja Bandenspanning sensor: Ja Cruisecontrol: Adaptieve cruisecontrol Dode Hoek Detectie: Ja ESP | Elektronische stabiliteitscontrole: Ja High-beam assist: Ja Hill Start Assist: Ja Keyless Entry: Ja Lane Change Assist: Ja Lichtsensor: Ja Noodremassistent: Ja Parkeersensoren: Voor, Achter, Camera Vermoeidheidsdetectie: Ja Sportonderstel: Ja Start-stopsysteem: Ja Startonderbreker: Ja Stembediening: Ja Tractiecontrole: Ja Verkeersbordherkenning: Ja Rear Traffic Alert: Ja Lenferink Auto´s B.V. Almelo is gevestigd in Almelo te Nederland. Via onderstaande link kunt u dit artikel direct online bestellen in onze webshop en betalen via onder andere Bancontact & Mistercash. Heeft u niet kunnen vinden wat u zocht of heeft u vragen? Neem gerust contact met ons op en bezoek onze webshop voor ons complete aanbod. Wij helpen u graag! Onze artikelen zijn gratis af te halen in Almelo te Nederland of laat dit product bij u thuis bezorgen in België tegen een scherp verzendtarief via onze webshop. Lenferink Auto´s B.V. Almelo Plesmanweg 11 7602PD Almelo Nederland Via le lien ci-dessous, vous pouvez commander ce produit directement dans notre boutique en ligne et payer via Bancontact. Ramasser est gratuit à Almelo aux Pays-Bas.",11,https://images.2dehands.com/api/v1/listing-twh-p/images/e9/e9fb05f4-396a-4c61-b386-246a775b2cf4?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/listing-twh-p/images/4e/4ea2a0b4-9ef1-4c12-8119-d1e911b68931?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/81/81cee20f-774d-499e-b049-ff44306328a8?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/e6/e60f5622-ae1e-4925-9f0d-e974408ad59e?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/ec/eccad4b5-d423-4cc9-abad-608bdf4d3369?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/8e/8eae35bb-d9e6-467c-b014-f370c918067b?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/1b/1b0ee954-7cd9-415e-aa52-f6f2c6cbd52d?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/af/afea4a20-04c4-470d-b811-2144ff21aab3?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/ef/ef186fb0-86fd-43a3-a0b2-8ba6ff6c91d2?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/54/543371f9-08b4-4531-ba77-f6dd23d5a68e?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/7d/7db6fca8-f5b6-46d6-bc03-a96aa5e80c60?rule=ecg_mp_eps$_83,Volvo,S60 2.0,2021,98691,Benzin,,,,,,,,,,,,,5,0.263145,0,,{}
https://www.2ememain.be/v/autos/volvo/m2358415468-volvo-s60-d3-2011,2358415468,fr,Volvo S60 D3 (2011),6700,EUR,,,,"Te koop: Volvo S60 D3 – 2011 – Comfort & Betrouwbaarheid Te koop aangeboden: een Volvo S60 D3 uit 2011 met 238.000 km op de teller. Deze wagen staat bekend om zijn comfort, veiligheid en sterke dieselmotor. De auto is rijk uitgerust met o.a.: • Zetelverwarming • Cruise control • Parkeersensoren voor en achter • Automatische klimaatregeling • Airconditioning • Bluetooth (handsfree bellen & muziek) • Navigatiesysteem • Lederen zetels • Open dak / schuifdak • memory seats De wagen rijdt en schakelt goed en is ideaal voor zowel lange afstanden als dagelijks gebruik. Een comfortabele en stijlvolle sedan met een sportieve uitstraling. Perfect voor wie een betrouwbare auto zoekt met veel opties. Kan gekeurd worden voor verkoop. Interesse? Neem gerust contact op voor meer info of een bezichtiging. 0471 69 01 65",1,https://images.2dehands.com/api/v1/listing-twh-p/images/ca/cab326c2-a443-42c4-88d7-0468f7cb903f?rule=ecg_mp_eps$_85,Volvo,S60,2011,238000,,,,,,,,,,,,,,15,0.028151,0,,{}
https://www.2ememain.be/v/autos/volvo/m2359332462-volvo-s60-automaat-2-0diesel-euro5-bj-2013,2359332462,fr,Volvo s60 automaat 2.0diesel euro5 bj.2013,4900,EUR,,,,Volvo s60 bj.2013 2.0liter diesel automatische versnellingsbak. 100kw = 136pk euronorm5 Met navigationsystem. Automatische airco. Cruiscontrole. Parkeersensoren. 4 elektrische ramen. Wagen start rijd perfect. Motorsystem service brand wel. Prijs. 4.900euro Gsm. 0488 916 174,1,https://images.2dehands.com/api/v1/listing-twh-p/images/80/800c8b5e-3e6c-45f8-8a1c-2fbb252ced5a?rule=ecg_mp_eps$_85,Volvo,s60 automaat 2.0diesel,2013,,Diesel,Automatic,,,,,,,,,,,,13,,0,,{}
https://www.2ememain.be/v/autos/volvo/m2339902450-volvo-s60-1-6-diesel-84kw-115pk-2012-gekeurd-voor-verkoop,2339902450,fr,Volvo s60 1.6 diesel 84kw 115pk 2012 gekeurd voor verkoop,6500,EUR,,,,"Volvo s60 1.6 diesel 84kw 115pk Bouwjaar 16/05/2012 154.930km altijd op zijn onderhoud geweest goed onderhouden propere wagen Testrit is mogelijk. Als het nodig is nemen wij u wagen ook over U bent van harte welkom in onze showroom, voormalige vw garage te Stekene 30km van uit Antwerpen 10km van uit Sint-Niklaas 20km van uit Beveren 40km van uit Gent 60km van uit Brussel VOOR MEER INFO zijn wij bereikbaar 7 op 7 alle dagen, ook s'avonds ,weekend en feestdagen 0487 25 73 11",11,https://images.2dehands.com/api/v1/listing-twh-p/images/1d/1d8422c4-35d7-462b-b76a-1f06f6ca3b2f?rule=ecg_mp_eps$_85|https://images.2dehands.com/api/v1/listing-twh-p/images/8b/8b4ad23a-b90c-432a-9ba0-a36fab796c1e?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/33/333c29df-0e82-4862-a916-9f1066b10cf9?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/56/56b1e822-a802-4367-b537-72213b2f3415?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/1a/1aeec196-0a4c-40b9-9367-90cf1fd3de4b?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/d9/d9368cf9-ab28-4351-a446-4c13acdc7778?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/00/009bfcbe-55fa-4bfc-a8ac-6721d161862e?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/67/675755c1-e49a-40dc-b487-da9423208009?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/6a/6aa7c9b7-03dc-4a1d-bba2-54c74b9840c3?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/32/328271cf-16d1-4524-ac0d-4bdcca62e88d?rule=ecg_mp_eps$_83|https://images.2dehands.com/api/v1/listing-twh-p/images/83/835111b4-a2b7-4365-a46b-43c929b8f9b8?rule=ecg_mp_eps$_83,Volvo,s60 1.6 diesel,2012,154930,Diesel,,,,,,,,,,,,,14,0.041954,0,,{}
